target_gameweeks,train_samples,val_samples,test_samples,train_r2,val_r2,test_r2,train_spearman,val_spearman,test_spearman,train_spearman_r2,val_spearman_r2,test_spearman_r2,train_rmse,val_rmse,test_rmse,target_mean,target_std
1,16569,5444,4703,0.7862182259559631,0.2683289051055908,0.2377868890762329,0.7857712827097219,0.6961443458651283,0.6743622802300681,0.6174365087312816,0.48461695027998736,0.4547644849970968,1.1138811603213548,2.1236561284416258,2.096680256062161,1.201602036232969,2.4230486875574693
2,16632,5594,5323,0.8141359424536717,0.38905593456455656,0.3612758839529795,0.8366157859997171,0.7633045643956499,0.7436819103174674,0.6999259733839244,0.5826338580272328,0.5530627837334376,0.8690290159027285,1.647619505594192,1.7704375524559441,1.2124941014192894,2.0745424963763717
3,16632,5594,5323,0.8253489731556936,0.476524495158125,0.4202116218807386,0.8523395965265353,0.7881793024913661,0.7668072935157342,0.726482787807017,0.6212266128757764,0.5879934253889253,0.7751647880774009,1.4024464535459444,1.5848793565202122,1.212899439786078,1.9176236857137048
4,16632,5594,5323,0.839276999781703,0.5344511237428635,0.4559990292085816,0.8634224934412672,0.8018324510814145,0.7727524512545135,0.7454984021803351,0.6429352796072291,0.5971463509198593,0.7046777073690228,1.2684538453536112,1.518532802525583,1.2162086948104587,1.840218228545065
5,16632,5594,5323,0.8458290058059506,0.5744696234904745,0.4661886474708883,0.8717237993666882,0.8148766827756453,0.7739046866960778,0.759902382382294,0.6640240081314397,0.5989284640901543,0.6661639922883449,1.1657100614625215,1.4680140945006077,1.2147767009086838,1.7794660833117242
6,16632,5594,5323,0.8491929971699852,0.5997425717827775,0.4694785377454668,0.8777838543020184,0.8239088369483248,0.7741795029311499,0.7705044948733072,0.6788257716015413,0.5993539027587224,0.6404573020611336,1.0968505883809825,1.4552107457306083,1.2135195469890014,1.7389310052968536
