id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
189,Owen,Dodgson,Burnley,BUR,Defender,40,0,0.3,0.0,0
190,Hjalmar,Ekdal,Burnley,BUR,Defender,40,0,0.3,0.0,0
191,Maxime,Estève,Burnley,BUR,Defender,40,0,10.8,0.0,0
192,Quilindschy,Hartman,Burnley,BUR,Defender,40,0,0.4,0.0,0
193,Bashir,Humphreys,Burnley,BUR,Defender,40,0,0.4,0.0,0
194,Jordan,Beyer,Burnley,BUR,Defender,40,0,0.3,0.0,0
195,Lucas,Pires Silva,Burnley,BUR,Defender,40,0,0.3,0.0,0
196,Shurandy,Sambo,Burnley,BUR,Defender,40,0,0.2,0.0,0
197,Oliver,Sonne,Burnley,BUR,Defender,40,0,0.2,0.0,0
198,Axel,Tuanzebe,Burnley,BUR,Defender,40,27,3.8,0.0,1710
199,Joe,Worrall,Burnley,BUR,Defender,40,0,0.2,0.0,0
200,Jaidon,Anthony,Burnley,BUR,Midfielder,55,0,0.1,0.0,0
201,Manuel,Benson Hedilazio,Burnley,BUR,Midfielder,55,0,0.0,0.0,0
202,Jacob,Bruun Larsen,Burnley,BUR,Midfielder,55,0,0.1,0.0,0
203,Enock,Agyei,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
204,Darko,Churlinov,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
205,Josh,Cullen,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
206,Marcus,Edwards,Burnley,BUR,Midfielder,50,0,0.2,0.0,0
207,Hannibal,Mejbri,Burnley,BUR,Midfielder,50,0,0.2,0.0,0
208,Luca,Koleosho,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
209,Josh,Laurent,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
210,Loum,Tchaouna,Burnley,BUR,Midfielder,50,0,0.1,0.0,0
211,Aaron,Ramsey,Burnley,BUR,Midfielder,45,0,12.9,0.0,0
212,Oluwaseun,Adewumi,Burnley,BUR,Midfielder,45,0,0.1,0.0,0
213,Jaydon,Banel,Burnley,BUR,Midfielder,45,0,0.1,0.0,0
214,Mike,Trésor Ndayishimiye,Burnley,BUR,Midfielder,45,0,0.1,0.0,0
215,Zian,Flemming,Burnley,BUR,Forward,55,0,0.2,0.0,0
216,Zeki,Amdouni,Burnley,BUR,Forward,50,0,0.4,0.0,0
217,Lyle,Foster,Burnley,BUR,Forward,50,0,0.4,0.0,0
218,Ashley,Barnes,Burnley,BUR,Forward,45,0,5.0,0.0,0
219,Michael,Obafemi,Burnley,BUR,Forward,45,0,0.8,0.0,0
66,Norberto,Murara Neto,Bournemouth,BOU,Goalkeeper,45,7,1.2,0.0,180
67,Đorđe,Petrović,Bournemouth,BOU,Goalkeeper,45,0,5.0,0.0,0
68,Will,Dennis,Bournemouth,BOU,Goalkeeper,40,0,0.7,0.0,0
69,Callan,McKenna,Bournemouth,BOU,Goalkeeper,40,0,0.2,0.0,0
70,Alex,Paulsen,Bournemouth,BOU,Goalkeeper,40,0,0.2,0.0,0
71,Illia,Zabarnyi,Bournemouth,BOU,Defender,50,94,0.5,0.0,3109
72,Marcos,Senesi Barón,Bournemouth,BOU,Defender,45,31,0.7,0.0,1103
73,Adam,Smith,Bournemouth,BOU,Defender,45,57,0.2,0.0,1586
74,Adrien,Truffert,Bournemouth,BOU,Defender,45,0,1.5,0.0,0
75,Matai,Akinmboni,Bournemouth,BOU,Defender,40,0,0.4,0.0,0
76,Owen,Bevan,Bournemouth,BOU,Defender,40,0,0.3,0.0,0
77,James,Hill,Bournemouth,BOU,Defender,40,17,0.8,0.0,443
78,Julián,Araujo Zúñiga,Bournemouth,BOU,Defender,40,12,1.3,0.0,492
79,Chris,Mepham,Bournemouth,BOU,Defender,40,0,0.3,0.0,0
80,Julio,Soler Barreto,Bournemouth,BOU,Defender,40,3,0.4,0.0,9
81,Justin,Kluivert,Bournemouth,BOU,Midfielder,70,158,4.9,0.0,2339
82,Antoine,Semenyo,Bournemouth,BOU,Midfielder,70,165,5.3,0.0,3202
83,Dango,Ouattara,Bournemouth,BOU,Midfielder,60,111,0.3,0.0,1998
84,Marcus,Tavernier,Bournemouth,BOU,Midfielder,55,87,0.4,0.0,1932
85,Tyler,Adams,Bournemouth,BOU,Midfielder,50,58,0.2,0.0,1959
86,David,Brooks,Bournemouth,BOU,Midfielder,50,52,0.1,0.0,941
87,Ryan,Christie,Bournemouth,BOU,Midfielder,50,76,0.6,0.0,2114
88,Lewis,Cook,Bournemouth,BOU,Midfielder,50,82,0.0,0.0,2976
89,Philip,Billing,Bournemouth,BOU,Midfielder,50,10,0.1,0.0,176
90,Alex,Scott,Bournemouth,BOU,Midfielder,50,26,0.1,0.0,745
91,Luis,Sinisterra Lucumí,Bournemouth,BOU,Midfielder,50,23,0.2,0.0,229
92,Romain,Faivre,Bournemouth,BOU,Midfielder,45,0,0.3,0.0,0
93,Hamed,Traorè,Bournemouth,BOU,Midfielder,45,0,0.3,0.0,0
94,Dominic,Sadi,Bournemouth,BOU,Midfielder,45,0,0.1,0.0,0
95,Zain,Silcott-Duberry,Bournemouth,BOU,Midfielder,45,1,0.3,0.0,1
96,Ben,Winterburn,Bournemouth,BOU,Midfielder,45,4,0.1,0.0,22
97,Francisco Evanilson,de Lima Barbosa,Bournemouth,BOU,Forward,70,128,2.4,0.0,2317
98,Enes,Ünal,Bournemouth,BOU,Forward,55,32,0.0,0.0,330
99,Daniel,Adu-Adjei,Bournemouth,BOU,Forward,45,0,0.4,0.0,0
100,Eli Junior,Kroupi,Bournemouth,BOU,Forward,45,0,1.6,0.0,0
101,Caoimhín,Kelleher,Brentford,BRE,Goalkeeper,45,45,32.2,0.0,900
102,Ellery,Balcombe,Brentford,BRE,Goalkeeper,40,0,0.3,0.0,0
103,Matthew,Cox,Brentford,BRE,Goalkeeper,40,0,0.2,0.0,0
104,Julian,Eyestone,Brentford,BRE,Goalkeeper,40,0,0.1,0.0,0
105,Hákon Rafn,Valdimarsson,Brentford,BRE,Goalkeeper,40,2,2.3,0.0,144
106,Nathan,Collins,Brentford,BRE,Defender,50,127,1.6,0.0,3420
107,Keane,Lewis-Potter,Brentford,BRE,Defender,50,94,0.4,0.0,3092
108,Kristoffer,Ajer,Brentford,BRE,Defender,45,39,0.2,0.0,1433
109,Rico,Henry,Brentford,BRE,Defender,45,4,0.2,0.0,94
110,Michael,Kayode,Brentford,BRE,Defender,45,27,0.3,0.0,523
111,Ethan,Pinnock,Brentford,BRE,Defender,45,47,0.3,0.0,1912
112,Mads,Roerslev Rasmussen,Brentford,BRE,Defender,45,36,0.1,0.0,1100
113,Sepp,van den Berg,Brentford,BRE,Defender,45,62,0.4,0.0,2584
114,Benjamin,Arthur,Brentford,BRE,Defender,40,0,0.4,0.0,0
115,Benjamin,Fredrick,Brentford,BRE,Defender,40,0,0.2,0.0,0
116,Aaron,Hickey,Brentford,BRE,Defender,40,0,0.8,0.0,0
117,Kim,Ji-soo,Brentford,BRE,Defender,40,3,0.3,0.0,28
118,Jayden,Meghoma,Brentford,BRE,Defender,40,1,0.2,0.0,4
