id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
323,Samuel,Amissah,Fulham,FUL,Defender,40,0,0.3,0.0,0
324,Alex,Iwobi,Fulham,FUL,Midfielder,65,156,1.4,0.0,2981
325,Emile,Smith Rowe,Fulham,FUL,Midfielder,60,114,1.2,0.0,2036
326,Adama,Traoré Diarra,Fulham,FUL,Midfielder,55,95,0.4,0.0,1756
327,Andreas,Hoelgebaum Pereira,Fulham,FUL,Midfielder,55,81,0.5,0.0,2004
328,Ryan,Sessegnon,Fulham,FUL,Midfielder,55,57,0.2,0.0,574
329,Harry,Wilson,Fulham,FUL,Midfielder,55,78,1.0,0.0,1148
330,Sander,Berge,Fulham,FUL,Midfielder,50,53,0.1,0.0,2221
331,Tom,Cairney,Fulham,FUL,Midfielder,50,33,0.1,0.0,610
332,Saša,Lukić,Fulham,FUL,Midfielder,50,56,0.1,0.0,2348
333,Martial,Godo,Fulham,FUL,Midfielder,45,2,0.1,0.0,21
334,Luke,Harris,Fulham,FUL,Midfielder,45,0,0.0,0.0,0
335,Josh,King,Fulham,FUL,Midfielder,45,10,0.3,0.0,126
336,Harrison,Reed,Fulham,FUL,Midfielder,45,10,0.3,0.0,100
337,Raúl,Jiménez Rodríguez,Fulham,FUL,Forward,65,147,2.4,0.0,2486
338,Rodrigo,Muniz Carvalho,Fulham,FUL,Forward,55,86,2.6,0.0,943
664,Benjamin,Lecomte,Fulham,FUL,Goalkeeper,40,0,0.9,0.0,0
339,Illan,Meslier,Leeds,LEE,Goalkeeper,45,0,1.2,0.0,0
340,Alex,Cairns,Leeds,LEE,Goalkeeper,40,0,0.3,0.0,0
341,Karl,Darlow,Leeds,LEE,Goalkeeper,40,0,7.9,0.0,0
342,Jayden,Bogle,Leeds,LEE,Defender,45,0,0.8,0.0,0
343,Pascal,Struijk,Leeds,LEE,Defender,45,0,0.4,0.0,0
344,Jaka,Bijol,Leeds,LEE,Defender,40,0,0.2,0.0,0
345,Sebastiaan,Bornauw,Leeds,LEE,Defender,40,0,0.3,0.0,0
346,Sam,Byram,Leeds,LEE,Defender,40,0,0.4,0.0,0
347,Gabriel,Gudmundsson,Leeds,LEE,Defender,40,0,2.0,0.0,0
348,Joe,Rodon,Leeds,LEE,Defender,40,0,1.9,0.0,0
349,Isaac,Schmidt,Leeds,LEE,Defender,40,0,0.3,0.0,0
350,Brenden,Aaronson,Leeds,LEE,Midfielder,55,0,0.1,0.0,0
351,Wilfried,Gnonto,Leeds,LEE,Midfielder,55,0,0.7,0.0,0
352,Jack,Harrison,Leeds,LEE,Midfielder,55,81,0.2,0.0,2068
353,Daniel,James,Leeds,LEE,Midfielder,55,0,0.9,0.0,0
354,Ethan,Ampadu,Leeds,LEE,Midfielder,50,0,0.2,0.0,0
355,Sam,Greenwood,Leeds,LEE,Midfielder,50,0,0.1,0.0,0
356,Ilia,Gruev,Leeds,LEE,Midfielder,50,0,0.1,0.0,0
357,Largie,Ramazani,Leeds,LEE,Midfielder,50,0,0.1,0.0,0
358,Tanaka,Ao,Leeds,LEE,Midfielder,50,0,0.5,0.0,0
359,Charlie,Crew,Leeds,LEE,Midfielder,45,0,0.1,0.0,0
360,Joe,Gelhardt,Leeds,LEE,Midfielder,45,0,0.4,0.0,0
361,Darko,Gyabi,Leeds,LEE,Midfielder,45,0,0.1,0.0,0
362,Joël,Piroe,Leeds,LEE,Forward,55,0,3.4,0.0,0
363,Patrick,Bamford,Leeds,LEE,Forward,50,0,3.2,0.0,0
364,Mateo,Joseph Fernández-Regatillo,Leeds,LEE,Forward,50,0,0.2,0.0,0
365,Lukas,Nmecha,Leeds,LEE,Forward,50,0,0.8,0.0,0
493,Sean,Longstaff,Leeds,LEE,Midfielder,50,34,0.4,0.0,783
660,Anton,Stach,Leeds,LEE,Midfielder,50,0,0.1,0.0,0
665,Lucas Estella,Perri,Leeds,LEE,Goalkeeper,45,0,0.3,0.0,0
366,Alisson,Becker,Liverpool,LIV,Goalkeeper,55,112,10.7,0.0,2508
367,Giorgi,Mamardashvili,Liverpool,LIV,Goalkeeper,45,0,0.6,0.0,0
368,Ármin,Pécsi,Liverpool,LIV,Goalkeeper,40,0,0.1,0.0,0
369,Freddie,Woodman,Liverpool,LIV,Goalkeeper,40,0,0.1,0.0,0
370,Jeremie,Frimpong,Liverpool,LIV,Defender,60,0,26.8,0.0,0
371,Milos,Kerkez,Liverpool,LIV,Defender,60,134,11.1,0.0,3336
372,Andrew,Robertson,Liverpool,LIV,Defender,60,91,2.1,0.0,2479
373,Virgil,van Dijk,Liverpool,LIV,Defender,60,143,21.9,0.0,3330
374,Ibrahima,Konaté,Liverpool,LIV,Defender,55,106,2.8,0.0,2561
375,Conor,Bradley,Liverpool,LIV,Defender,50,41,0.7,0.0,744
376,Joe,Gomez,Liverpool,LIV,Defender,50,14,0.2,0.0,517
377,Konstantinos,Tsimikas,Liverpool,LIV,Defender,50,43,0.1,0.0,829
378,Amara,Nallo,Liverpool,LIV,Defender,40,0,0.2,0.0,0
379,Rhys,Williams,Liverpool,LIV,Defender,40,0,0.3,0.0,0
380,Calvin,Ramsay,Liverpool,LIV,Defender,40,0,0.2,0.0,0
381,Mohamed,Salah,Liverpool,LIV,Midfielder,145,344,56.1,0.0,3374
382,Florian,Wirtz,Liverpool,LIV,Midfielder,85,0,34.8,0.0,0
383,Luis,Díaz Marulanda,Liverpool,LIV,Midfielder,80,183,1.2,0.0,2393
384,Cody,Gakpo,Liverpool,LIV,Midfielder,75,127,2.4,0.0,1921
385,Federico,Chiesa,Liverpool,LIV,Midfielder,65,7,0.1,0.0,103
386,Alexis,Mac Allister,Liverpool,LIV,Midfielder,65,122,1.5,0.0,2597
387,Dominik,Szoboszlai,Liverpool,LIV,Midfielder,65,143,1.7,0.0,2485
388,Curtis,Jones,Liverpool,LIV,Midfielder,55,87,0.1,0.0,1702
389,Harvey,Elliott,Liverpool,LIV,Midfielder,55,33,0.2,0.0,359
390,Ryan,Gravenberch,Liverpool,LIV,Midfielder,55,92,0.1,0.0,3160
391,Ben,Doak,Liverpool,LIV,Midfielder,50,0,0.1,0.0,0
392,Endo,Wataru,Liverpool,LIV,Midfielder,50,21,0.1,0.0,259
393,Stefan,Bajčetić Maquieira,Liverpool,LIV,Midfielder,45,0,0.1,0.0,0
394,James,McConnell,Liverpool,LIV,Midfielder,45,0,0.0,0.0,0
395,Tyler,Morton,Liverpool,LIV,Midfielder,45,0,0.0,0.0,0
396,Trey,Nyoni,Liverpool,LIV,Midfielder,45,0,0.1,0.0,0
397,Darwin,Núñez Ribeiro,Liverpool,LIV,Forward,65,66,1.5,0.0,1113
398,Jayden,Danns,Liverpool,LIV,Forward,45,1,0.2,0.0,10
661,Hugo,Ekitiké,Liverpool,LIV,Forward,85,0,4.7,0.0,0
182,James,Trafford,Man City,MCI,Goalkeeper,50,0,3.7,0.0,0
399,Ederson,Santana de Moraes,Man City,MCI,Goalkeeper,55,111,3.7,0.0,2320
400,Stefan,Ortega Moreno,Man City,MCI,Goalkeeper,50,35,0.5,0.0,1099
401,Marcus,Bettinelli,Man City,MCI,Goalkeeper,40,0,0.3,0.0,0
402,Rayan,Aït-Nouri,Man City,MCI,Defender,60,125,24.7,0.0,3112
403,Joško,Gvardiol,Man City,MCI,Defender,60,153,17.4,0.0,3278
404,Manuel,Akanji,Man City,MCI,Defender,55,61,0.6,0.0,2012
405,Nathan,Aké,Man City,MCI,Defender,55,25,0.5,0.0,677
406,Abdukodir,Khusanov,Man City,MCI,Defender,55,14,0.3,0.0,503
407,Matheus,Nunes,Man City,MCI,Defender,55,81,0.6,0.0,1670
408,Rúben,dos Santos Gato Alves Dias,Man City,MCI,Defender,55,90,2.3,0.0,2269
409,John,Stones,Man City,MCI,Defender,55,29,0.5,0.0,544
410,Rico,Lewis,Man City,MCI,Defender,50,66,0.6,0.0,1888
411,Nico,O'Reilly,Man City,MCI,Defender,50,31,0.2,0.0,525
412,Vitor,de Oliveira Nunes dos Reis,Man City,MCI,Defender,50,1,0.1,0.0,1
413,Omar,Marmoush,Man City,MCI,Midfielder,85,73,14.5,0.0,1174
414,Phil,Foden,Man City,MCI,Midfielder,80,105,3.3,0.0,1771
415,Sávio,Moreira de Oliveira,Man City,MCI,Midfielder,70,106,1.9,0.0,1760
416,Bernardo,Mota Veiga de Carvalho e Silva,Man City,MCI,Midfielder,65,110,0.6,0.0,2667
417,Rayan,Cherki,Man City,MCI,Midfielder,65,0,9.7,0.0,0
418,Jérémy,Doku,Man City,MCI,Midfielder,65,88,1.2,0.0,1506
419,Jack,Grealish,Man City,MCI,Midfielder,65,38,0.1,0.0,710
420,İlkay,Gündoğan,Man City,MCI,Midfielder,65,97,0.1,0.0,2218
421,Rodrigo 'Rodri',Hernandez Cascante,Man City,MCI,Midfielder,65,3,1.6,0.0,72
422,Mateo,Kovačić,Man City,MCI,Midfielder,60,109,0.0,0.0,2194
423,Nico,González Iglesias,Man City,MCI,Midfielder,60,31,0.1,0.0,760
424,Oscar,Bobb,Man City,MCI,Midfielder,55,3,0.1,0.0,14
425,Claudio,Echeverri,Man City,MCI,Midfielder,55,1,0.1,0.0,5
426,James,McAtee,Man City,MCI,Midfielder,55,31,0.1,0.0,340
427,Tijjani,Reijnders,Man City,MCI,Midfielder,55,0,5.0,0.0,0
428,Sverre,Nypan,Man City,MCI,Midfielder,50,0,0.1,0.0,0
429,Kalvin,Phillips,Man City,MCI,Midfielder,50,27,0.1,0.0,1231
430,Erling,Haaland,Man City,MCI,Forward,140,181,19.2,0.0,2736
119,Bryan,Mbeumo,Man Utd,MUN,Midfielder,80,236,17.6,0.0,3415
431,Altay,Bayındır,Man Utd,MUN,Goalkeeper,50,8,0.5,0.0,360
432,André,Onana,Man Utd,MUN,Goalkeeper,50,120,0.1,0.0,3060
433,Elyh,Harrison,Man Utd,MUN,Goalkeeper,40,0,0.0,0.0,0
434,Tom,Heaton,Man Utd,MUN,Goalkeeper,40,0,0.4,0.0,0
435,Dermot,Mee,Man Utd,MUN,Goalkeeper,40,0,0.2,0.0,0
436,Matthijs,de Ligt,Man Utd,MUN,Defender,50,68,1.0,0.0,2119
437,Lisandro,Martínez,Man Utd,MUN,Defender,50,68,0.6,0.0,1751
438,Noussair,Mazraoui,Man Utd,MUN,Defender,50,88,1.1,0.0,2836
439,Diego,León Blanco,Man Utd,MUN,Defender,45,0,0.1,0.0,0
440,Diogo,Dalot Teixeira,Man Utd,MUN,Defender,45,95,2.7,0.0,2812
441,Patrick,Dorgu,Man Utd,MUN,Defender,45,18,4.6,0.0,840
442,Harry,Maguire,Man Utd,MUN,Defender,45,48,0.6,0.0,1751
443,Luke,Shaw,Man Utd,MUN,Defender,45,5,0.2,0.0,346
444,Leny,Yoro,Man Utd,MUN,Defender,45,22,1.0,0.0,1160
445,Harry,Amass,Man Utd,MUN,Defender,40,4,0.3,0.0,345
446,Tyler,Fredricson,Man Utd,MUN,Defender,40,2,0.2,0.0,166
447,Ayden,Heaven,Man Utd,MUN,Defender,40,10,2.2,0.0,169
448,Tyrell,Malacia,Man Utd,MUN,Defender,40,2,0.4,0.0,99
449,Bruno,Borges Fernandes,Man Utd,MUN,Midfielder,90,174,11.8,0.0,3017
450,Matheus,Santos Carneiro da Cunha,Man Utd,MUN,Midfielder,80,178,11.3,0.0,2596
451,Marcus,Rashford,Man Utd,MUN,Midfielder,70,95,0.5,0.0,1414
452,Amad,Diallo,Man Utd,MUN,Midfielder,65,129,3.6,0.0,1898
453,Alejandro,Garnacho Ferreyra,Man Utd,MUN,Midfielder,65,106,0.2,0.0,2188
454,Antony,dos Santos,Man Utd,MUN,Midfielder,60,8,0.1,0.0,135
455,Mason,Mount,Man Utd,MUN,Midfielder,60,25,0.1,0.0,613
456,Jadon,Sancho,Man Utd,MUN,Midfielder,60,86,0.1,0.0,1754
457,Carlos Henrique,Casimiro,Man Utd,MUN,Midfielder,55,48,0.2,0.0,1489
458,Kobbie,Mainoo,Man Utd,MUN,Midfielder,50,42,1.0,0.0,1646
459,Manuel,Ugarte Ribeiro,Man Utd,MUN,Midfielder,50,49,0.2,0.0,1777
460,Toby,Collyer,Man Utd,MUN,Midfielder,45,6,0.2,0.0,174
461,Jayce,Fitzgerald,Man Utd,MUN,Midfielder,45,0,0.0,0.0,0
462,Jack,Fletcher,Man Utd,MUN,Midfielder,45,0,0.1,0.0,0
463,Sékou,Koné,Man Utd,MUN,Midfielder,45,0,0.1,0.0,0
464,Jack,Moorhouse,Man Utd,MUN,Midfielder,45,0,0.0,0.0,0
465,Rasmus,Højlund,Man Utd,MUN,Forward,65,78,1.2,0.0,1998
466,Joshua,Zirkzee,Man Utd,MUN,Forward,60,64,1.1,0.0,1385
467,Chido,Obi,Man Utd,MUN,Forward,45,7,5.3,0.0,160
468,Ethan,Wheatley,Man Utd,MUN,Forward,45,0,0.2,0.0,0
469,Nick,Pope,Newcastle,NEW,Goalkeeper,50,102,3.9,0.0,2520
470,Martin,Dúbravka,Newcastle,NEW,Goalkeeper,40,44,11.4,0.0,900
471,Mark,Gillespie,Newcastle,NEW,Goalkeeper,40,0,0.1,0.0,0
472,Odysseas,Vlachodimos,Newcastle,NEW,Goalkeeper,40,0,0.1,0.0,0
473,Lewis,Hall,Newcastle,NEW,Defender,55,102,2.9,0.0,2188
474,Fabian,Schär,Newcastle,NEW,Defender,55,118,2.2,0.0,2935
475,Sven,Botman,Newcastle,NEW,Defender,50,18,0.5,0.0,412
476,Dan,Burn,Newcastle,NEW,Defender,50,115,3.1,0.0,3330
477,Tino,Livramento,Newcastle,NEW,Defender,50,105,4.5,0.0,2835
478,Kieran,Trippier,Newcastle,NEW,Defender,50,72,1.4,0.0,1299
479,Emil,Krafth,Newcastle,NEW,Defender,45,17,0.1,0.0,334
480,Jamaal,Lascelles,Newcastle,NEW,Defender,45,0,0.1,0.0,0
481,Alex,Murphy,Newcastle,NEW,Defender,40,0,0.8,0.0,0
482,Harrison,Ashby,Newcastle,NEW,Defender,40,0,0.2,0.0,0
483,Miodrag,Pivaš,Newcastle,NEW,Defender,40,0,0.2,0.0,0
484,Matt,Targett,Newcastle,NEW,Defender,40,2,0.5,0.0,20
485,Anthony,Gordon,Newcastle,NEW,Midfielder,75,124,3.0,0.0,2428
486,Anthony,Elanga,Newcastle,NEW,Midfielder,70,153,10.2,0.0,2496
487,Harvey,Barnes,Newcastle,NEW,Midfielder,65,130,0.5,0.0,1746
488,Bruno,Guimarães Rodriguez Moura,Newcastle,NEW,Midfielder,65,135,1.4,0.0,3273
489,Jacob,Murphy,Newcastle,NEW,Midfielder,65,159,2.9,0.0,2356
490,Joelinton Cássio,Apolinário de Lira,Newcastle,NEW,Midfielder,60,99,0.4,0.0,2394
491,Sandro,Tonali,Newcastle,NEW,Midfielder,55,106,2.4,0.0,2625
492,Antoñito,Cordero Campillo,Newcastle,NEW,Midfielder,50,0,0.1,0.0,0
494,Joe,Willock,Newcastle,NEW,Midfielder,50,46,0.2,0.0,1065
495,Isaac,Hayden,Newcastle,NEW,Midfielder,45,0,0.1,0.0,0
496,Garang,Kuol,Newcastle,NEW,Midfielder,45,0,0.1,0.0,0
497,Lewis,Miley,Newcastle,NEW,Midfielder,45,21,3.3,0.0,304
498,Joe,White,Newcastle,NEW,Midfielder,45,0,0.1,0.0,0
499,Alexander,Isak,Newcastle,NEW,Forward,105,211,30.3,0.0,2758
500,William,Osula,Newcastle,NEW,Forward,55,19,0.2,0.0,124
501,Sean,Neave,Newcastle,NEW,Forward,45,0,0.3,0.0,0
502,Matz,Sels,Nott'm Forest,NFO,Goalkeeper,50,150,17.9,0.0,3420
503,Carlos Miguel,dos Santos Pereira,Nott'm Forest,NFO,Goalkeeper,40,0,0.3,0.0,0
504,Matt,Turner,Nott'm Forest,NFO,Goalkeeper,40,0,1.4,0.0,0
505,Nikola,Milenković,Nott'm Forest,NFO,Defender,55,145,8.2,0.0,3330
506,Murillo,Costa dos Santos,Nott'm Forest,NFO,Defender,55,130,4.4,0.0,3188
507,Ola,Aina,Nott'm Forest,NFO,Defender,50,128,18.2,0.0,2996
508,Neco,Williams,Nott'm Forest,NFO,Defender,50,109,2.9,0.0,2588
509,David,Mota Veiga Teixeira do Carmo,Nott'm Forest,NFO,Defender,45,0,0.1,0.0,0
510,Jair,Paula da Cunha Filho,Nott'm Forest,NFO,Defender,45,0,0.1,0.0,0
511,Felipe,Rodrigues da Silva,Nott'm Forest,NFO,Defender,45,36,0.1,0.0,891
512,Omar,Richards,Nott'm Forest,NFO,Defender,45,0,0.1,0.0,0
513,Zach,Abbott,Nott'm Forest,NFO,Defender,40,0,0.3,0.0,0
514,Willy,Boly,Nott'm Forest,NFO,Defender,40,6,0.6,0.0,146
515,Morgan,Gibbs-White,Nott'm Forest,NFO,Midfielder,75,154,4.7,0.0,2806
516,Callum,Hudson-Odoi,Nott'm Forest,NFO,Midfielder,60,103,2.0,0.0,2190
517,Elliot,Anderson,Nott'm Forest,NFO,Midfielder,55,107,3.4,0.0,2726
518,João Pedro,Ferreira da Silva,Nott'm Forest,NFO,Midfielder,55,52,0.1,0.0,835
519,Nicolás,Domínguez,Nott'm Forest,NFO,Midfielder,50,54,0.0,0.0,1954
520,Lewis,O'Brien,Nott'm Forest,NFO,Midfielder,50,0,0.0,0.0,0
521,Ibrahim,Sangaré,Nott'm Forest,NFO,Midfielder,50,20,0.1,0.0,584
522,Ryan,Yates,Nott'm Forest,NFO,Midfielder,50,67,0.2,0.0,1901
523,Eric,da Silva Moreira,Nott'm Forest,NFO,Midfielder,45,2,0.2,0.0,28
524,Marko,Stamenić,Nott'm Forest,NFO,Midfielder,45,0,0.1,0.0,0
525,Chris,Wood,Nott'm Forest,NFO,Forward,75,200,16.2,0.0,2958
526,Igor Jesus,Maciel da Cruz,Nott'm Forest,NFO,Forward,60,0,1.3,0.0,0
527,Taiwo,Awoniyi,Nott'm Forest,NFO,Forward,55,32,0.8,0.0,398
669,Dan,Ndoye,Nott'm Forest,NFO,Midfielder,60,0,0.2,0.0,0
528,Anthony,Patterson,Sunderland,SUN,Goalkeeper,45,0,0.6,0.0,0
529,Simon,Moore,Sunderland,SUN,Goalkeeper,40,0,0.7,0.0,0
530,Blondy,Nna Noukeu,Sunderland,SUN,Goalkeeper,40,0,0.3,0.0,0
531,Daniel,Ballard,Sunderland,SUN,Defender,45,0,0.3,0.0,0
532,Trai,Hume,Sunderland,SUN,Defender,45,0,0.3,0.0,0
533,Aji,Alese,Sunderland,SUN,Defender,40,0,0.0,0.0,0
534,Joe,Anderson,Sunderland,SUN,Defender,40,0,0.6,0.0,0
535,Dennis,Cirkin,Sunderland,SUN,Defender,40,0,0.2,0.0,0
536,Leo Fuhr,Hjelde,Sunderland,SUN,Defender,40,0,0.0,0.0,0
537,Niall,Huggins,Sunderland,SUN,Defender,40,0,0.3,0.0,0
538,Zak,Johnson,Sunderland,SUN,Defender,40,0,0.3,0.0,0
539,Luke,O'Nien,Sunderland,SUN,Defender,40,0,0.0,0.0,0
540,Timothée,Pembélé,Sunderland,SUN,Defender,40,0,0.3,0.0,0
541,Reinildo,Mandava,Sunderland,SUN,Defender,40,0,8.5,0.0,0
542,Jenson,Seelt,Sunderland,SUN,Defender,40,0,0.4,0.0,0
543,Simon,Adingra,Sunderland,SUN,Midfielder,55,60,2.9,0.0,1081
544,Habib,Diarra,Sunderland,SUN,Midfielder,55,0,0.1,0.0,0
545,Patrick,Roberts,Sunderland,SUN,Midfielder,55,0,0.1,0.0,0
546,Milan,Aleksić,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
547,Enzo,Le Fée,Sunderland,SUN,Midfielder,50,0,1.3,0.0,0
548,Romaine,Mundle,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
549,Dan,Neil,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
550,Ian,Poveda-Ocampo,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
551,Chris,Rigg,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
552,Noah,Sadiki,Sunderland,SUN,Midfielder,50,0,0.1,0.0,0
553,Chemsdine,Talbi,Sunderland,SUN,Midfielder,50,0,0.2,0.0,0
554,Abdoullah,Ba,Sunderland,SUN,Midfielder,45,0,0.4,0.0,0
555,Alan,Browne,Sunderland,SUN,Midfielder,45,0,0.1,0.0,0
556,Pierre,Ekwah Elimby,Sunderland,SUN,Midfielder,45,0,0.1,0.0,0
557,Harrison,Jones,Sunderland,SUN,Midfielder,45,0,0.1,0.0,0
558,Jay,Matete,Sunderland,SUN,Midfielder,45,0,0.3,0.0,0
559,Nectarios,Triantis,Sunderland,SUN,Midfielder,45,0,0.1,0.0,0
560,Wilson,Isidor,Sunderland,SUN,Forward,55,0,0.4,0.0,0
561,Eliezer,Mayenda Dossou,Sunderland,SUN,Forward,55,0,0.5,0.0,0
562,Ahmed,Abdullahi,Sunderland,SUN,Forward,45,0,1.2,0.0,0
563,Luís Hemir,Silva Semedo,Sunderland,SUN,Forward,45,0,0.3,0.0,0
564,Nazarii,Rusyn,Sunderland,SUN,Forward,45,0,0.4,0.0,0
668,Granit,Xhaka,Sunderland,SUN,Midfielder,50,0,1.7,0.0,0
670,Robin,Roefs,Sunderland,SUN,Goalkeeper,45,0,0.1,0.0,0
565,Guglielmo,Vicario,Spurs,TOT,Goalkeeper,50,66,3.5,0.0,2160
566,Brandon,Austin,Spurs,TOT,Goalkeeper,40,1,0.3,0.0,90
567,Antonín,Kinský,Spurs,TOT,Goalkeeper,40,17,5.8,0.0,540
568,Pedro,Porro Sauceda,Spurs,TOT,Defender,55,98,10.4,0.0,2606
569,Cristian,Romero,Spurs,TOT,Defender,50,49,1.7,0.0,1416
570,Kevin,Danso,Spurs,TOT,Defender,45,16,0.1,0.0,842
571,Ben,Davies,Spurs,TOT,Defender,45,28,0.1,0.0,1329
572,Radu,Drăgușin,Spurs,TOT,Defender,45,24,0.0,0.0,1250
573,Djed,Spence,Spurs,TOT,Defender,45,51,0.6,0.0,1790
574,Destiny,Udogie,Spurs,TOT,Defender,45,43,8.9,0.0,1923
575,Micky,van de Ven,Spurs,TOT,Defender,45,32,16.4,0.0,1014
576,Ashley,Phillips,Spurs,TOT,Defender,40,0,0.2,0.0,0
577,Takai,Kōta,Spurs,TOT,Defender,40,0,0.4,0.0,0
578,Luka,Vušković,Spurs,TOT,Defender,40,0,2.5,0.0,0
579,Son,Heung-min,Spurs,TOT,Midfielder,85,129,2.6,0.0,2106
580,Brennan,Johnson,Spurs,TOT,Midfielder,70,137,3.2,0.0,2171
581,James,Maddison,Spurs,TOT,Midfielder,70,133,3.1,0.0,1799
582,Mohammed,Kudus,Spurs,TOT,Midfielder,65,106,26.7,0.0,2589
583,Dejan,Kulusevski,Spurs,TOT,Midfielder,65,117,0.0,0.0,2386
584,Mathys,Tel,Spurs,TOT,Midfielder,65,42,0.2,0.0,908
585,Rodrigo,Bentancur,Spurs,TOT,Midfielder,55,49,0.1,0.0,1640
586,Lucas,Bergvall,Spurs,TOT,Midfielder,55,44,0.2,0.0,1200
587,Yves,Bissouma,Spurs,TOT,Midfielder,55,50,0.1,0.0,1396
588,Wilson,Odobert,Spurs,TOT,Midfielder,55,34,0.1,0.0,843
589,Manor,Solomon,Spurs,TOT,Midfielder,55,0,0.1,0.0,0
590,Bryan,Gil Salvatierra,Spurs,TOT,Midfielder,50,0,0.1,0.0,0
591,Archie,Gray,Spurs,TOT,Midfielder,50,45,0.2,0.0,1750
592,Mikey,Moore,Spurs,TOT,Midfielder,50,19,0.1,0.0,359
593,Pape Matar,Sarr,Spurs,TOT,Midfielder,50,71,1.6,0.0,1901
594,Yang,Min-hyeok,Spurs,TOT,Midfielder,45,0,0.2,0.0,0
595,Callum,Olusesi,Spurs,TOT,Midfielder,45,0,0.2,0.0,0
596,Dominic,Solanke-Mitchell,Spurs,TOT,Forward,75,108,14.0,0.0,2199
597,Richarlison,de Andrade,Spurs,TOT,Forward,65,35,1.0,0.0,497
598,Will,Lankshear,Spurs,TOT,Forward,45,3,0.4,0.0,10
599,Dane,Scarlett,Spurs,TOT,Forward,45,6,0.9,0.0,31
600,Alphonse,Areola,West Ham,WHU,Goalkeeper,45,69,6.0,0.0,2259
601,Wes,Foderingham,West Ham,WHU,Goalkeeper,40,0,1.0,0.0,0
602,Krisztián,Hegyi,West Ham,WHU,Goalkeeper,40,0,0.5,0.0,0
603,El Hadji Malick,Diouf,West Ham,WHU,Defender,45,0,0.7,0.0,0
604,Emerson,Palmieri dos Santos,West Ham,WHU,Defender,45,76,0.2,0.0,2108
605,Maximilian,Kilman,West Ham,WHU,Defender,45,82,0.4,0.0,3348
606,Konstantinos,Mavropanos,West Ham,WHU,Defender,45,45,0.1,0.0,2035
607,Nayef,Aguerd,West Ham,WHU,Defender,45,0,0.1,0.0,0
608,Ollie,Scarles,West Ham,WHU,Defender,45,29,0.1,0.0,659
609,Jean-Clair,Todibo,West Ham,WHU,Defender,45,54,0.2,0.0,1824
610,Aaron,Wan-Bissaka,West Ham,WHU,Defender,45,118,32.5,0.0,3154
611,Kaelan,Casey,West Ham,WHU,Defender,40,1,0.8,0.0,1
612,Lucas,Tolentino Coelho de Lima,West Ham,WHU,Midfielder,60,80,0.9,0.0,2374
613,Tomáš,Souček,West Ham,WHU,Midfielder,60,126,0.9,0.0,2563
614,James,Ward-Prowse,West Ham,WHU,Midfielder,60,51,0.4,0.0,1433
615,Crysencio,Summerville,West Ham,WHU,Midfielder,55,33,0.0,0.0,776
616,Edson,Álvarez Velázquez,West Ham,WHU,Midfielder,50,40,0.2,0.0,1769
617,Maxwel,Cornet,West Ham,WHU,Midfielder,50,1,0.1,0.0,71
618,Guido,Rodríguez,West Ham,WHU,Midfielder,50,36,0.1,0.0,1147
619,Luis Guilherme,Lira dos Santos,West Ham,WHU,Midfielder,50,12,0.1,0.0,139
620,George,Earthy,West Ham,WHU,Midfielder,45,0,0.2,0.0,0
621,Andy,Irving,West Ham,WHU,Midfielder,45,9,0.3,0.0,161
622,Lewis,Orford,West Ham,WHU,Midfielder,45,2,0.2,0.0,47
623,Freddie,Potts,West Ham,WHU,Midfielder,45,0,0.7,0.0,0
624,Jarrod,Bowen,West Ham,WHU,Forward,80,193,18.6,0.0,2974
625,Niclas,Füllkrug,West Ham,WHU,Forward,60,42,1.4,0.0,783
626,Callum,Marshall,West Ham,WHU,Forward,45,0,0.9,0.0,0
659,Kyle,Walker-Peters,West Ham,WHU,Defender,45,0,0.5,0.0,0
627,Sam,Johnstone,Wolves,WOL,Goalkeeper,45,12,0.2,0.0,630
628,José,Malheiro de Sá,Wolves,WOL,Goalkeeper,45,93,2.6,0.0,2610
629,Daniel,Bentley,Wolves,WOL,Goalkeeper,40,9,1.2,0.0,180
630,Tom,King,Wolves,WOL,Goalkeeper,40,1,3.1,0.0,1
631,Emmanuel,Agbadou,Wolves,WOL,Defender,45,45,0.3,0.0,1410
632,Matt,Doherty,Wolves,WOL,Defender,45,75,0.2,0.0,2105
633,Hugo,Bueno López,Wolves,WOL,Defender,45,0,0.1,0.0,0
634,Yerson,Mosquera Valdelamar,Wolves,WOL,Defender,45,3,0.1,0.0,441
635,Rodrigo,Martins Gomes,Wolves,WOL,Defender,45,42,0.1,0.0,794
636,Santiago,Ignacio Bueno,Wolves,WOL,Defender,45,52,0.1,0.0,1678
637,Toti,Gomes,Wolves,WOL,Defender,45,79,0.2,0.0,2613
638,Ki-Jana,Hoever,Wolves,WOL,Defender,40,0,2.3,0.0,0
639,Bastien,Meupiyou Menadjou,Wolves,WOL,Defender,40,0,0.1,0.0,0
640,Pedro,Cardoso de Lima,Wolves,WOL,Defender,40,2,1.5,0.0,69
