element_id,web_name,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,points_per_game,expected_points_next_4gw,expected_points_per_gw,recent_form_last5,next_fixture_difficulty,next_home_ratio,upcoming_fixtures,injury_status,injury_severity,expected_return,cost_per_million,expected_points_per_million,value_score
20,Leandro Trossard,Leandro,Trossard,Arsenal,Midfielder,70,1.5,0.0,152,4.0,4.524209,1.1310523,2.6133333333333333,3.25,0.5,4,available,none,,7.0,0.6463155746459961,64.63155746459961
236,Pedro Lomba Neto,Pedro,Lomba Neto,Chelsea,Midfielder,70,4.5,0.0,104,2.736842105263158,4.46631,1.1165775,2.0356491228070173,2.75,0.5,4,available,none,,7.0,0.6380442891802106,63.80442891802106
120,Kevin Schade,Kevin,Schade,Brentford,Midfielder,70,2.0,0.0,149,3.9210526315789473,4.430255,1.1075637,2.577228070175438,2.75,0.5,4,available,none,,7.0,0.6328935623168945,63.28935623168945
249,João Pedro Junqueira de Jesus,João Pedro,Junqueira de Jesus,Chelsea,Forward,75,53.7,0.0,126,3.3157894736842106,4.3405714,1.0851429,5.371578947368421,2.75,0.5,4,available,none,,7.5,0.5787428538004558,57.87428538004558
596,Dominic Solanke-Mitchell,Dominic,Solanke-Mitchell,Spurs,Forward,75,14.0,0.0,108,2.8421052631578947,4.322255,1.0805638,4.549263157894736,3.0,0.5,0,available,none,,7.5,0.5763006846110026,57.63006846110026
135,Yoane Wissa,Yoane,Wissa,Brentford,Forward,75,7.4,0.0,185,4.868421052631579,4.2310715,1.0577679,3.4542421052631576,2.75,0.5,4,available,none,,7.5,0.5641428629557291,56.414286295572914
30,Kai Havertz,Kai,Havertz,Arsenal,Forward,75,1.4,0.0,97,2.5526315789473686,4.2257643,1.0564411,2.1327894736842103,3.25,0.5,4,available,none,,7.5,0.5634352366129557,56.34352366129557
283,Jean-Philippe Mateta,Jean-Philippe,Mateta,Crystal Palace,Forward,75,6.1,0.0,150,3.9473684210526314,4.213263,1.0533158,2.8162105263157895,3.25,0.5,4,available,none,,7.5,0.5617684046427409,56.17684046427409
525,Chris Wood,Chris,Wood,Nott'm Forest,Forward,75,16.2,0.0,200,5.2631578947368425,4.1356487,1.0339122,7.416315789473684,3.0,0.5,0,available,none,,7.5,0.5514198303222656,55.14198303222656
97,Francisco Evanilson de Lima Barbosa,Francisco Evanilson,de Lima Barbosa,Bournemouth,Forward,70,2.4,0.0,128,3.3684210526315788,4.106275,1.0265688,2.3636912280701754,3.25,0.5,4,available,none,,7.0,0.5866107259477887,58.66107259477887
